series,first_historical_year,last_historical_year,specification,description,cy1987,cy1988,cy1989,cy1990,cy1991,cy1992,cy1993,cy1994,cy1995,cy1996,cy1997,cy1998,cy1999,cy2000,cy2001,cy2002,cy2003,cy2004,cy2005,cy2006,cy2007,cy2008,cy2009,cy2010,cy2011,cy2012,cy2013,cy2014,cy2015,cy2016,cy2017,cy2018,cy2019,cy2020,cy2021,cy2022,cy2023,cy2024,cy2025,cy2026,cy2027,cy2028,cy2029,cy2030,cy2031,cy2032,cy2033,cy2034,cy2035
pchange_prem_demo_b2024,2003,2023,"prais pchange_prem_demo lndiff_pdi_3yr L.pchange_prem_demo L2.pchange_prem_demo L3.pchange_prem_demo if year >= 2003 & year <= 2023, ssesearch",percent change from last year's final baseline with demographic adjustments,,.18530414,.16067162,.14182959,.090485819,.086733378,.0665562,.028565021,.030729482,.036336973,.035486531,.045790274,.06708011,.069618277,.089791343,.10712371,.098537467,.057784054,.063772716,.040096093,.055062439,.027509501,.05659724,.043457177,.03955188,.016883852,.016383182,.015808104,.030174807,.050522406,.056414243,.040240567,.028721182,.025,.035,.02,.067000002,.085012957,.071118914,.050040185,.038095165,.035894543,.037821773,.039462358,.03957032,.038912579,.038339607,.038119979,
prem_demo_b2024,2003,2023,"prais pchange_prem_demo lndiff_pdi_3yr L.pchange_prem_demo L2.pchange_prem_demo L3.pchange_prem_demo if year >= 2003 & year <= 2023, ssesearch",final previous output with demographic adjustments,884.14478,1047.9805,1216.3612,1388.8772,1514.5509,1645.9131,1755.4587,1805.6035,1861.0887,1928.7151,1997.1584,2088.6089,2228.7129,2383.8721,2597.9233,2876.2224,3159.6382,3342.2148,3555.3569,3697.9128,3901.5291,4008.8582,4235.7485,4419.8218,4594.6343,4672.2095,4748.7549,4823.8237,4969.2754,5220.335,5514.8364,5736.7563,5901.5229,6049.061,6260.7783,6385.9937,6813.8555,7393.1216,7918.9126,8315.1768,8631.9443,8941.7842,9279.9785,9646.1885,10027.892,10418.103,10817.528,11229.893,
pchange_prem_demo_b2024_step1,2003,2023,"prais pchange_prem_demo lndiff_pdi_3yr L.pchange_prem_demo L2.pchange_prem_demo L3.pchange_prem_demo if year >= 2003 & year <= 2023, ssesearch",percent change from updating historical data on previous final baseline with demographic adjustments,,.1851947,.15798901,.14253871,.0908622,.085806429,.065605544,.026645828,.028660398,.035086151,.034699284,.047633529,.067887753,.069440685,.088390999,.10712369,.09853746,.057784025,.063772745,.040096138,.055062421,.027509509,.056597184,.043457251,.039551843,.016883817,.016620036,.015454505,.030071083,.048838198,.055916145,.038789537,.029942863,.036902744,.035589397,.056071173,.093573779,.091380574,.066933356,.04569326,.03710033,.036971297,.038970258,.039880563,.039466642,.03871572,.038258925,.038142793,
prem_demo_b2024_step1,2003,2023,"prais pchange_prem_demo lndiff_pdi_3yr L.pchange_prem_demo L2.pchange_prem_demo L3.pchange_prem_demo if year >= 2003 & year <= 2023, ssesearch",level shift from updating historical data on previous final baseline with demographic adjustments,894.81915,1060.5349,1228.0878,1403.1378,1530.63,1661.9679,1771.0022,1818.192,1870.3021,1935.9238,2003.099,2098.5137,2240.9771,2396.592,2608.4292,2887.8538,3172.4155,3355.7305,3569.7346,3712.8672,3917.3066,4025.0698,4252.8774,4437.6958,4613.2148,4691.1035,4769.0698,4842.7734,4988.4009,5232.0254,5524.5801,5738.876,5910.7144,6128.8359,6346.9575,6702.8389,7330.0488,7999.873,8535.3311,8925.3379,9256.4707,9598.6943,9972.7578,10370.477,10779.765,11197.111,11625.501,12068.93,
pchange_prem_demo_b2024_step2,2003,2023,"prais pchange_prem_demo lndiff_pdi_3yr L.pchange_prem_demo L2.pchange_prem_demo L3.pchange_prem_demo if year >= 2003 & year <= 2023, ssesearch",percent change from updating economic data on previous final baseline with layered on updated historical data with demographic adjustments,,.1851947,.15798901,.14253871,.0908622,.085806429,.065605544,.026645828,.028660398,.035086151,.034699284,.047633529,.067887753,.069440685,.088390999,.10712369,.09853746,.057784025,.063772745,.040096138,.055062421,.027509509,.056597184,.043457251,.039551843,.016883817,.016620036,.015454505,.030071083,.048838198,.055916145,.038789537,.029942863,.036902744,.035589397,.056071173,.093573779,.092336401,.067590103,.045656204,.036548823,.036568999,.038909946,.039992269,.039503131,.038532142,.037861314,.037630599,
prem_demo_b2024_step2,2003,2023,"prais pchange_prem_demo lndiff_pdi_3yr L.pchange_prem_demo L2.pchange_prem_demo L3.pchange_prem_demo if year >= 2003 & year <= 2023, ssesearch",level shift from updating economic data on previous final baseline with layered on updated historical data with demographic adjustments,894.81915,1060.5349,1228.0878,1403.1378,1530.63,1661.9679,1771.0022,1818.192,1870.3021,1935.9238,2003.099,2098.5137,2240.9771,2396.592,2608.4292,2887.8538,3172.4155,3355.7305,3569.7346,3712.8672,3917.3066,4025.0698,4252.8774,4437.6958,4613.2148,4691.1035,4769.0698,4842.7734,4988.4009,5232.0254,5524.5801,5738.876,5910.7144,6128.8359,6346.9575,6702.8389,7330.0488,8006.8794,8548.0654,8938.3379,9265.0234,9603.8359,9977.5205,10376.544,10786.45,11202.075,11626.2,12063.701,
pchange_prem_demo_b2024_step3,2003,2023,"prais pchange_prem_demo lndiff_pdi_3yr L.pchange_prem_demo L2.pchange_prem_demo L3.pchange_prem_demo if year >= 2003 & year <= 2023, ssesearch",percent change from using current coefficients in the previous PGM specification with updated historical and economic data with demographic adjustments,,.1851947,.15798901,.14253871,.0908622,.085806429,.065605544,.026645828,.028660398,.035086151,.034699284,.047633529,.067887753,.069440685,.088390999,.10712369,.09853746,.057784025,.063772745,.040096138,.055062421,.027509509,.056597184,.043457251,.039551843,.016883817,.016620036,.015454505,.030071083,.048838198,.055916145,.038789537,.029942863,.036902744,.035589397,.056071173,.093573779,.10426699,.084727071,.054281171,.032871224,.028879596,.036892038,.046737898,.050716557,.048420433,.043556098,.039923064,
prem_demo_b2024_step3,2003,2023,"prais pchange_prem_demo lndiff_pdi_3yr L.pchange_prem_demo L2.pchange_prem_demo L3.pchange_prem_demo if year >= 2003 & year <= 2023, ssesearch",level shift from using current coefficients in the previous PGM specification with updated historical and economic data and demographic adjustments,894.81915,1060.5349,1228.0878,1403.1378,1530.63,1661.9679,1771.0022,1818.192,1870.3021,1935.9238,2003.099,2098.5137,2240.9771,2396.592,2608.4292,2887.8538,3172.4155,3355.7305,3569.7346,3712.8672,3917.3066,4025.0698,4252.8774,4437.6958,4613.2148,4691.1035,4769.0698,4842.7734,4988.4009,5232.0254,5524.5801,5738.876,5910.7144,6128.8359,6346.9575,6702.8389,7330.0488,8094.3311,8780.1396,9256.7363,9561.0166,9837.1348,10200.047,10676.775,11218.265,11761.458,12273.741,12763.746,
pchange_prem_demo_b2024_step4,1999,2023,regress lndiff_prem_real_demo L.lndiff_prem_real_demo lndiff_pdi_real_6yr if year >= 1999 & year <= 2023,percent change on previous output from updating the model specification with updated historical and economic data and demographic adjustments,,.1851947,.15798901,.14253871,.0908622,.085806429,.065605544,.026645828,.028660398,.035086151,.034699284,.047633529,.067887753,.069440685,.088390999,.10712369,.098537453,.057784025,.063772745,.040096138,.055062421,.027509509,.056597184,.043457247,.039551843,.016883817,.016620036,.015454505,.030071085,.048838198,.055916145,.038789537,.029942865,.036902744,.035589397,.05607117,.093573779,.052858327,.04926654,.043767292,.039675664,.041791581,.042300273,.04275291,.044191618,.045715906,.046459146,.045157079,.044399925
prem_demo_b2024_step4,1999,2023,regress lndiff_prem_real_demo L.lndiff_prem_real_demo lndiff_pdi_real_6yr if year >= 1999 & year <= 2023,level shift on previous output from updating model specification with updated historical and economic data and demographic adjustments,894.81915,1060.5349,1228.0878,1403.1378,1530.63,1661.9679,1771.0022,1818.192,1870.3021,1935.9238,2003.099,2098.5137,2240.9771,2396.592,2608.4292,2887.8538,3172.4155,3355.7305,3569.7346,3712.8672,3917.3066,4025.0698,4252.8774,4437.6958,4613.2148,4691.1035,4769.0698,4842.7734,4988.4009,5232.0254,5524.5801,5738.876,5910.7144,6128.8359,6346.9575,6702.8389,7330.0488,7717.5029,8097.7178,8452.1328,8787.4766,9154.7188,9541.9658,9949.9131,10389.616,10864.587,11369.347,11882.753,12410.347
