series,first_historical_year,last_historical_year,specification,description,cy1987,cy1988,cy1989,cy1990,cy1991,cy1992,cy1993,cy1994,cy1995,cy1996,cy1997,cy1998,cy1999,cy2000,cy2001,cy2002,cy2003,cy2004,cy2005,cy2006,cy2007,cy2008,cy2009,cy2010,cy2011,cy2012,cy2013,cy2014,cy2015,cy2016,cy2017,cy2018,cy2019,cy2020,cy2021,cy2022,cy2023,cy2024,cy2025,cy2026,cy2027,cy2028,cy2029,cy2030,cy2031,cy2032,cy2033,cy2034,cy2035,cy2036
pchange_prem_demo_b2025,1999,2023,regress lndiff_prem_real_demo L.lndiff_prem_real_demo lndiff_pdi_real_6yr if year >= 1999 & year <= 2023,percent change on previous output from updating to new specification with updated historical and economic data and demographic adjustments,,,.15798901,.14253871,.0908622,.085806429,.065605544,.026645828,.028660398,.035086151,.034699284,.047633529,.067887753,.069440685,.088390999,.10712369,.098537453,.057784025,.063772745,.040096138,.055062421,.027509509,.056597184,.043457247,.039551843,.016883817,.016620036,.015454505,.030071085,.048838198,.055916145,.038789537,.029942865,.036902744,.035589397,.05607117,.093573779,.074127473,.078679591,.05485801,.04388541,.043402296,.042916078,.042988405,.044281766,.045750421,.046472352,.045162123,.044401851,
prem_demo_b2025,1999,2023,regress lndiff_prem_real_demo L.lndiff_prem_real_demo lndiff_pdi_real_6yr if year >= 1999 & year <= 2023,current final pgm output with demographc adjustments,894.81915,1060.5349,1228.0878,1403.1378,1530.63,1661.9679,1771.0022,1818.192,1870.3021,1935.9238,2003.099,2098.5137,2240.9771,2396.592,2608.4292,2887.8538,3172.4155,3355.7305,3569.7346,3712.8672,3917.3066,4025.0698,4252.8774,4437.6958,4613.2148,4691.1035,4769.0698,4842.7734,4988.4009,5232.0254,5524.5801,5738.876,5910.7144,6128.8359,6346.9575,6702.8389,7330.0488,7873.4067,8492.8828,8958.7852,9351.9453,9757.8408,10176.609,10614.086,11084.097,11591.199,12129.869,12677.68,13240.592,
pchange_prem_demo_b2025_step1,1999,2023,regress lndiff_prem_real_demo L.lndiff_prem_real_demo lndiff_pdi_real_6yr if year >= 1999 & year <= 2023,,,,.15798886,.14253873,.090862229,.085806377,.065605506,.026645837,.028660482,.035086188,.034699246,.047633536,.067887656,.06944067,.088391036,.10712374,.098537475,.057784028,.063772812,.040095985,.055062458,.027509525,.056597166,.043457139,.039551966,.016883772,.016620003,.015454516,.030071219,.048838187,.055916026,.038789451,.029943008,.036902785,.035589434,.056071155,.093573622,.074080959,.078034505,.054616787,.04379414,.043367416,.042902749,.042983308,.044279817,.045749675,.046472065,.045162011,.04440181,
prem_demo_b2025_step1,1999,2023,regress lndiff_prem_real_demo L.lndiff_prem_real_demo lndiff_pdi_real_6yr if year >= 1999 & year <= 2023,,888.71259,1053.2976,1219.7069,1393.5624,1520.1846,1650.6261,1758.9163,1805.7841,1857.5387,1922.7126,1989.4293,2084.1929,2225.6838,2380.2368,2590.6284,2868.1462,3150.7661,3332.8301,3545.374,3687.5293,3890.5737,3997.6016,4223.8545,4407.4111,4581.7329,4659.0898,4736.5239,4809.7246,4954.3589,5196.3208,5486.8784,5699.7114,5870.3779,6087.0112,6303.6445,6657.0972,7280.0259,7819.3374,8429.5156,8889.9082,9279.2344,9681.6504,10097.02,10531.022,10997.334,11500.458,12034.908,12578.429,13136.934,
pchange_prem_demo_b2025_step2,1999,2023,regress lndiff_prem_real_demo L.lndiff_prem_real_demo lndiff_pdi_real_6yr if year >= 1999 & year <= 2023,,,,.15798886,.14253873,.090862229,.085806377,.065605506,.026645837,.028660482,.035086188,.034699246,.047633536,.067887656,.06944067,.088391036,.10712374,.098537475,.057784028,.063772812,.040095985,.055062458,.027509525,.056597166,.043457139,.039551966,.016883772,.016620003,.015454516,.030071219,.048838187,.055916026,.038789451,.029943008,.036902785,.035589434,.056071155,.093573622,.074080952,.078034505,.057555363,.047263201,.046416957,.044607777,.044223834,.045697179,.045923572,.046303436,.046641022,.047326017,
prem_demo_b2025_step2,1999,2023,regress lndiff_prem_real_demo L.lndiff_prem_real_demo lndiff_pdi_real_6yr if year >= 1999 & year <= 2023,,888.71259,1053.2976,1219.7069,1393.5624,1520.1846,1650.6261,1758.9163,1805.7841,1857.5387,1922.7126,1989.4293,2084.1929,2225.6838,2380.2368,2590.6284,2868.1462,3150.7661,3332.8301,3545.374,3687.5293,3890.5737,3997.6016,4223.8545,4407.4111,4581.7329,4659.0898,4736.5239,4809.7246,4954.3589,5196.3208,5486.8784,5699.7114,5870.3779,6087.0112,6303.6445,6657.0972,7280.0259,7819.3369,8429.5146,8914.6787,9336.0146,9769.3643,10205.154,10656.466,11143.437,11655.183,12194.857,12763.638,13367.689,
pchange_prem_demo_b2025_step3,1999,2023,regress lndiff_prem_real_demo L.lndiff_prem_real_demo lndiff_pdi_real_6yr if year >= 1999 & year <= 2023,,,,.15798886,.14253873,.090862229,.085806377,.065605506,.026645837,.028660482,.035086188,.034699246,.047633536,.067887656,.06944067,.088391036,.10712374,.098537475,.057784028,.063772812,.040095985,.055062458,.027509525,.056597166,.043457139,.039551966,.016883772,.016620003,.015454516,.030071219,.048838187,.055916026,.038789451,.029943008,.036902785,.035589434,.056071155,.093573622,.074080952,.078034505,.057566203,.047244303,.04635004,.044530552,.04413728,.04559765,.045823693,.046202268,.046539135,.047221556,
prem_demo_b2025_step3,1999,2023,regress lndiff_prem_real_demo L.lndiff_prem_real_demo lndiff_pdi_real_6yr if year >= 1999 & year <= 2023,,888.71259,1053.2976,1219.7069,1393.5624,1520.1846,1650.6261,1758.9163,1805.7841,1857.5387,1922.7126,1989.4293,2084.1929,2225.6838,2380.2368,2590.6284,2868.1462,3150.7661,3332.8301,3545.374,3687.5293,3890.5737,3997.6016,4223.8545,4407.4111,4581.7329,4659.0898,4736.5239,4809.7246,4954.3589,5196.3208,5486.8784,5699.7114,5870.3779,6087.0112,6303.6445,6657.0972,7280.0259,7819.3369,8429.5146,8914.7695,9335.9414,9768.6631,10203.667,10654.029,11139.828,11650.296,12188.566,12755.812,13358.161,
pchange_prem_demo_b2025_step4,1999,2023,regress lndiff_prem_real_demo L.lndiff_prem_real_demo lndiff_pdi_real_6yr if year >= 1999 & year <= 2023,,,,.15798886,.14253873,.090862229,.085806377,.065605506,.026645837,.028660482,.035086188,.034699246,.047633536,.067887656,.06944067,.088391036,.10712374,.098537475,.057784028,.063772812,.040095985,.055062458,.027509525,.056597166,.043457139,.039551966,.016883772,.016620003,.015454516,.030071219,.048838187,.055916026,.038789451,.029943008,.036902785,.035589434,.056071155,.093573622,.074080952,.078034505,.057566203,.047244303,.04635004,.044530552,.04413728,.04559765,.045823693,.046202268,.046539135,.047221556,.047922242
prem_demo_b2025_step4,1999,2023,regress lndiff_prem_real_demo L.lndiff_prem_real_demo lndiff_pdi_real_6yr if year >= 1999 & year <= 2023,,888.71259,1053.2976,1219.7069,1393.5624,1520.1846,1650.6261,1758.9163,1805.7841,1857.5387,1922.7126,1989.4293,2084.1929,2225.6838,2380.2368,2590.6284,2868.1462,3150.7661,3332.8301,3545.374,3687.5293,3890.5737,3997.6016,4223.8545,4407.4111,4581.7329,4659.0898,4736.5239,4809.7246,4954.3589,5196.3208,5486.8784,5699.7114,5870.3779,6087.0112,6303.6445,6657.0972,7280.0259,7819.3369,8429.5146,8914.7695,9335.9414,9768.6631,10203.667,10654.029,11139.828,11650.296,12188.566,12755.812,13358.161,13998.314
