year,step,pchange_prem,prem
1987,b2025,,815.91815
1987,b2026,,815.91815
1987,bls_2025,,
1987,demo_b2025,,894.81915
1987,demo_b2025_step1,,888.71259
1987,demo_b2025_step2,,888.71259
1987,demo_b2025_step3,,888.71259
1987,demo_b2025_step4,,888.71259
1987,demo_b2026,,888.71259
1987,demo_current_2023,,
1987,demo_current_2024,,
1987,kff_family_2025,,
1987,kff_single_2025,,
1988,b2025,,966.02521
1988,b2026,,966.02521
1988,bls_2025,,
1988,demo_b2025,,1060.5349
1988,demo_b2025_step1,,1053.2976
1988,demo_b2025_step2,,1053.2976
1988,demo_b2025_step3,,1053.2976
1988,demo_b2025_step4,,1053.2976
1988,demo_b2026,,1053.2976
1988,demo_current_2023,.1851947,
1988,demo_current_2024,.18519488,
1988,kff_family_2025,,
1988,kff_single_2025,,
1989,b2025,.14753309,1108.5459
1989,b2026,.14753309,1108.5459
1989,bls_2025,,
1989,demo_b2025,.15798901,1228.0878
1989,demo_b2025_step1,.15798886,1219.7069
1989,demo_b2025_step2,.15798886,1219.7069
1989,demo_b2025_step3,.15798886,1219.7069
1989,demo_b2025_step4,.15798886,1219.7069
1989,demo_b2026,.15798886,1219.7069
1989,demo_current_2023,.15798901,
1989,demo_current_2024,.15798888,
1989,kff_family_2025,,
1989,kff_single_2025,,
1990,b2025,.15296081,1278.11
1990,b2026,.15296081,1278.11
1990,bls_2025,,
1990,demo_b2025,.14253871,1403.1378
1990,demo_b2025_step1,.14253873,1393.5624
1990,demo_b2025_step2,.14253873,1393.5624
1990,demo_b2025_step3,.14253873,1393.5624
1990,demo_b2025_step4,.14253873,1393.5624
1990,demo_b2026,.14253873,1393.5624
1990,demo_current_2023,.14253871,
1990,demo_current_2024,.14253873,
1990,kff_family_2025,,
1990,kff_single_2025,,
1991,b2025,.097375073,1402.566
1991,b2026,.097375073,1402.566
1991,bls_2025,,
1991,demo_b2025,.0908622,1530.63
1991,demo_b2025_step1,.090862229,1520.1846
1991,demo_b2025_step2,.090862229,1520.1846
1991,demo_b2025_step3,.090862229,1520.1846
1991,demo_b2025_step4,.090862229,1520.1846
1991,demo_b2026,.090862229,1520.1846
1991,demo_current_2023,.0908622,
1991,demo_current_2024,.090862237,
1991,kff_family_2025,,
1991,kff_single_2025,,
1992,b2025,.08310765,1519.13
1992,b2026,.08310765,1519.13
1992,bls_2025,,
1992,demo_b2025,.085806429,1661.9679
1992,demo_b2025_step1,.085806377,1650.6261
1992,demo_b2025_step2,.085806377,1650.6261
1992,demo_b2025_step3,.085806377,1650.6261
1992,demo_b2025_step4,.085806377,1650.6261
1992,demo_b2026,.085806377,1650.6261
1992,demo_current_2023,.085806429,
1992,demo_current_2024,.085806377,
1992,kff_family_2025,,
1992,kff_single_2025,,
1993,b2025,.067063175,1621.0077
1993,b2026,.067063175,1621.0077
1993,bls_2025,,
1993,demo_b2025,.065605544,1771.0022
1993,demo_b2025_step1,.065605506,1758.9163
1993,demo_b2025_step2,.065605506,1758.9163
1993,demo_b2025_step3,.065605506,1758.9163
1993,demo_b2025_step4,.065605506,1758.9163
1993,demo_b2026,.065605506,1758.9163
1993,demo_current_2023,.065605544,
1993,demo_current_2024,.065605506,
1993,kff_family_2025,,
1993,kff_single_2025,,
1994,b2025,.032598719,1673.8505
1994,b2026,.032598719,1673.8505
1994,bls_2025,,
1994,demo_b2025,.026645828,1818.192
1994,demo_b2025_step1,.026645837,1805.7841
1994,demo_b2025_step2,.026645837,1805.7841
1994,demo_b2025_step3,.026645837,1805.7841
1994,demo_b2025_step4,.026645837,1805.7841
1994,demo_b2026,.026645837,1805.7841
1994,demo_current_2023,.026645828,
1994,demo_current_2024,.026645837,
1994,kff_family_2025,,
1994,kff_single_2025,,
1995,b2025,.032757148,1728.681
1995,b2026,.032757148,1728.681
1995,bls_2025,,
1995,demo_b2025,.028660398,1870.3021
1995,demo_b2025_step1,.028660482,1857.5387
1995,demo_b2025_step2,.028660482,1857.5387
1995,demo_b2025_step3,.028660482,1857.5387
1995,demo_b2025_step4,.028660482,1857.5387
1995,demo_b2026,.028660482,1857.5387
1995,demo_current_2023,.028660398,
1995,demo_current_2024,.02866048,
1995,kff_family_2025,,
1995,kff_single_2025,,
1996,b2025,.038246691,1794.7974
1996,b2026,.038246691,1794.7974
1996,bls_2025,,
1996,demo_b2025,.035086151,1935.9238
1996,demo_b2025_step1,.035086188,1922.7126
1996,demo_b2025_step2,.035086188,1922.7126
1996,demo_b2025_step3,.035086188,1922.7126
1996,demo_b2025_step4,.035086188,1922.7126
1996,demo_b2026,.035086188,1922.7126
1996,demo_current_2023,.035086151,
1996,demo_current_2024,.035086188,
1996,kff_family_2025,,
1996,kff_single_2025,,
1997,b2025,.038675562,1864.2122
1997,b2026,.038675562,1864.2122
1997,bls_2025,,
1997,demo_b2025,.034699284,2003.099
1997,demo_b2025_step1,.034699246,1989.4293
1997,demo_b2025_step2,.034699246,1989.4293
1997,demo_b2025_step3,.034699246,1989.4293
