year,prem_2022,prem_demo_2022,prem_2023,prem_demo_2023,pchange_prem_2022,pchange_prem_demo_2022,pchange_prem_2023,pchange_prem_demo_2023,gdp_cy_b231205e,gdp_cy_b241204f,pop_cy_b231205e,pop_cy_b241204f,pc_cy_b241204f,pcmed_cy_b241204f,cpiumed_cy_b231205e,inc_cy_b231205e,inc_cy_b241204f,inc_smooth_taxadj_cy_b241204f,lndiff_prem_bls_2023,lndiff_prem_bls_2024,lndiff_prem_kff_single_2023,lndiff_prem_kff_family_2023,lndiff_prem_kff_single_2024,lndiff_prem_kff_family_2024
2004,3253.3477,3342.2148,3253.3477,3355.7305,.067558043,.057784054,.067558043,.05778404,12217.175,12217.175,293.26224,293.26224,.79827499,.75541204,3.1014166,8967.1504,8967.1504,8967.1504,.051387452,.062169023,.088217668,.092820816,.088217668,.092820816
2005,3475.2,3555.3569,3475.2,3569.7346,.06819205,.063772716,.06819205,.06377276,13039.2,13039.2,295.99274,295.99274,.82127249,.77884895,3.23225,9333.6504,9333.6504,9333.6504,.043751508,.044666447,.085295878,.089353688,.085295878,.089353688
2006,3640.3184,3697.9128,3640.3184,3712.8672,.047513332,.040096093,.047513332,.040096093,13815.6,13815.6,298.8175,298.8175,.84439999,.80345708,3.3619168,9945.0254,9945.0254,9945.0254,.039451193,.035543837,.052758422,.053680148,.052758422,.053680148
2007,3854.7278,3901.5291,3854.7278,3917.3066,.058898527,.055062439,.058898527,.055062447,14474.25,14474.25,301.69601,301.69601,.86606753,.82974315,3.5106492,10439.65,10439.65,10439.65,.029998196,.027239554,.054364949,.053094808,.054364949,.053094808
2008,3994.1428,4008.8582,3994.1428,4025.0698,.036167294,.027509501,.036167294,.027509468,14769.85,14769.85,304.543,304.543,.89169753,.85118687,3.6407149,10918.15,10918.15,10918.15,.041460767,.043895796,.049013402,.046324752,.049013402,.046324752
2009,4250.8232,4235.7485,4250.8232,4252.8774,.064264245,.05659724,.064264245,.05659727,14478.05,14478.05,307.24026,307.24026,.88921249,.87460315,3.7560816,10913.3,10913.3,10913.3,.047877505,.052942995,.025190249,.053361345,.025190249,.053361345
2010,4449.2754,4419.8218,4449.2754,4437.6958,.046685543,.043457177,.046685543,.043457188,15048.975,15048.975,309.8385,309.8385,.90513498,.89736515,3.8842316,11319,11319,11319,.049867883,.05387713,.045586746,.029105021,.045586746,.029105021
2011,4632.9043,4594.6343,4632.9043,4613.2148,.041271642,.03955188,.041271642,.039551847,15599.725,15599.725,312.29501,312.29501,.92803752,.91558176,4.0024123,11855.875,11855.875,11855.875,.039514676,.043041006,.072564751,.090412751,.072564751,.090412751
2012,4705.3965,4672.2095,4705.3965,4691.1035,.015647262,.016883852,.015647262,.016883783,16253.95,16253.95,314.72525,314.72525,.94533998,.93373317,4.1492343,12408.275,12408.275,12408.275,.025067275,.030846559,.033686634,.043617792,.033686634,.043617792
2013,4737.103,4748.7549,4738.207,4769.0698,.0067383288,.016383182,.006972915,.016620085,16880.676,16880.676,317.09924,317.09924,.95780498,.94508874,4.2513251,12391.225,12391.225,12391.225,.01615544,.018685378,.046795215,.037766203,.046795215,.037766203
2014,4826.1602,4823.8237,4825.6045,4842.7734,.018799968,.015808104,.018445278,.015454478,17608.125,17608.125,319.60074,319.60074,.97121,.95825738,4.3530598,12998.4,12998.4,12998.4,.012739026,.014821854,.023680676,.029111594,.023680676,.029111594
2015,4967.9897,4969.2754,4967.3301,4988.4009,.029473204,.030174807,.029369557,.030071093,18295,18295,322.11249,322.11249,.97298998,.96829265,4.4676175,13532.85,13532.85,13532.85,.0069379024,.0090784319,.036823973,.041368358,.036823973,.041368358
2016,5214.3081,5220.335,5205.2578,5232.0254,.04958117,.050522406,.047898524,.048838221,18804.9,18804.9,324.60925,324.60925,.98284501,.98349822,4.6367817,13928.9,13928.9,13928.9,.022375079,.028353937,.029010391,.033460684,.029010391,.033460684
2017,5506.8203,5514.8364,5494.6704,5524.5801,.056097969,.056414243,.055600002,.055916138,19612.1,19612.1,326.85974,326.85974,1,1,4.7531743,14613.95,14613.95,14613.95,.039173432,.04794855,.038862035,.03371045,.038862035,.03371045
