year,prem_2023,prem_demo_2023,prem_2024,prem_demo_2024,pchange_prem_2023,pchange_prem_demo_2023,pchange_prem_2024,pchange_prem_demo_2024,gdp_cy_b241204f,gdp_cy_b251028i,pop_cy_b241204f,pop_cy_b251028i,pc_cy_b241204f,pc_cy_b251028i,pcmed_cy_b241204f,pcmed_cy_b251028i,inc_cy_b241204f,inc_smooth_taxadj_cy_b241204f,inc_cy_b251028i,inc_smooth_taxadj_cy_b251028i,lndiff_prem_bls_2024,lndiff_prem_bls_2025,lndiff_prem_kff_single_2024,lndiff_prem_kff_family_2024,lndiff_prem_kff_single_2025,lndiff_prem_kff_family_2025
2004,3253.3477,3355.7305,3253.3477,3332.8301,.067558043,.05778404,.067558043,.057784054,12217.175,12217.175,293.26224,293.26224,.79827499,.79827499,.75541204,.75541204,8967.1504,8967.1504,8967.1504,8967.1504,.062169023,.062169023,.088217668,.092820816,.088217668,.092820816
2005,3475.2,3569.7346,3475.2,3545.374,.06819205,.06377276,.06819205,.063772783,13039.2,13039.2,295.99274,295.99274,.82127249,.82127249,.77884895,.77884895,9333.6504,9333.6504,9333.6504,9333.6504,.044666447,.044666447,.085295878,.089353688,.085295878,.089353688
2006,3640.3184,3712.8672,3640.3184,3687.5293,.047513332,.040096093,.047513332,.040096048,13815.6,13815.6,298.8175,298.8175,.84439999,.84439999,.80345708,.80345708,9945.0254,9945.0254,9945.0254,9945.0254,.035543837,.035543837,.052758422,.053680148,.052758422,.053680148
2007,3854.7278,3917.3066,3854.7278,3890.5737,.058898527,.055062447,.058898527,.055062443,14474.25,14474.25,301.69601,301.69601,.86606753,.86606753,.82974315,.82974315,10439.65,10439.65,10439.65,10439.65,.027239554,.027239554,.054364949,.053094808,.054364949,.053094808
2008,3994.1428,4025.0698,3994.1428,3997.6016,.036167294,.027509468,.036167294,.02750952,14769.85,14769.85,304.543,304.543,.89169753,.89169753,.85118687,.85118687,10918.15,10918.15,10918.15,10918.15,.043895796,.043895796,.049013402,.046324752,.049013402,.046324752
2009,4250.8232,4252.8774,4250.8232,4223.8545,.064264245,.05659727,.064264245,.05659721,14478.05,14478.05,307.24026,307.24026,.88921249,.88921249,.87460315,.87460315,10913.3,10913.3,10913.3,10913.3,.052942995,.052942995,.025190249,.053361345,.025190249,.053361345
2010,4449.2754,4437.6958,4449.2754,4407.4111,.046685543,.043457188,.046685543,.043457095,15048.975,15048.975,309.8385,309.8385,.90513498,.90513498,.89736515,.89736515,11319,11319,11319,11319,.05387713,.05387713,.045586746,.029105021,.045586746,.029105021
2011,4632.9043,4613.2148,4632.9043,4581.7329,.041271642,.039551847,.041271642,.039551921,15599.725,15599.725,312.29501,312.29501,.92803752,.92803752,.91558176,.91558176,11855.875,11855.875,11855.875,11855.875,.043041006,.043041006,.072564751,.090412751,.072564751,.090412751
2012,4705.3965,4691.1035,4705.3965,4659.0898,.015647262,.016883783,.015647262,.016883856,16253.95,16253.95,314.72525,314.72525,.94533998,.94533998,.93373317,.93373317,12408.275,12408.275,12408.275,12408.275,.030846559,.030846559,.033686634,.043617792,.033686634,.043617792
2013,4738.207,4769.0698,4738.207,4736.5239,.006972915,.016620085,.006972915,.016619984,16880.676,16880.676,317.09924,317.09924,.95780498,.95780498,.94508874,.94508874,12391.225,12391.225,12391.225,12391.225,.018685378,.018685378,.046795215,.037766203,.046795215,.037766203
