year,medigap_enrollment_2023,medigap_exp_2023,per_cap_medicare_exp_2023,per_cap_medigap_exp_2023,total_phi_enrollment_2023,total_phi_exp_2023
1987,10.4,,2618,,178.8,144.5
1988,10.6,,2755,,178.8,170.1
1989,10.4,,3075,,181.4,197.9
1990,10.5,,3289,,180.2,225.9
1991,10.3,,3532,,179.5,246.8
1992,10.9,,3902,,178.7,266
1993,11,,4218,,179.6,285.4
1994,12.2,,4636,,181.9,298.8
1995,10.6,,5016,,184.8,315
1996,10,,5333,,187.9,333.2
1997,9.300000000000001,,5590,,189.4,349.3
1998,9,,5511,,192.1,371.3
1999,8.800000000000001,,5567,,194.3,401.5
2000,8.5,,5801,,198.7,441
2001,9.5,15.7,6328,1650,198.9,483.4
2002,9.800000000000001,16.8,6704,1714,199.2,537.5
2003,9.699999999999999,17.9,7038,1852,197.2,589.3
2004,9.5,18.7,7628,1966,196.2,626.1
2005,9.4,19.5,8179,2074,196.9,671.1
2006,9.300000000000001,19.5,9530,2094,197.8,705.7000000000001
2007,8.800000000000001,18.9,10003,2156,198.1,748.6
2008,8.699999999999999,19.6,10520,2248,196.5,769.7000000000001
2009,8.699999999999999,20.3,10966,2345,190.9,794.8
2010,8.9,22,11152,2474,188.3,820.2000000000001
2011,9.1,23.1,11406,2535,187.8,851
2012,9.300000000000001,23.6,11438,2526,190.9,878.1
2013,9.800000000000001,25,11484,2559,191,879.3
2014,10.4,26.6,11681,2567,194.8,922.5
2015,11.4,28.9,11929,2546,200.4,976.3
2016,11.8,30.2,12122,2559,201.9,1028.3
2017,11.6,30.6,12320,2639,202.2,1077.8
2018,12,31.8,12795,2661,200.7,1124.3
2019,12.4,33.5,13355,2699,202.1,1152.9
2020,12.6,34.4,13560,2732,200.1,1147.9
2021,12.4,34.9,14309,2817,200.8,1230.3
2022,12.5,35.4,14933,2828,204,1313.8
2023,12.4,36,15808,2892,207.3,1464.6
