year,prem_2024,prem_demo_2024,pchange_prem_2024,pchange_prem_demo_2024
1987,815.9181514584517,888.7126142709112,,
1988,966.0252191465172,1053.297547321193,.18397319,.18519478
1989,1108.545889309341,1219.706968588795,.14753307,.157989
1990,1278.110012784761,1393.562391861876,.15296085,.14253868
1991,1402.566029901665,1520.184598452727,.097375043,.090862244
1992,1519.129997009338,1650.626154222467,.08310765,.085806392
1993,1621.007689380355,1758.916294187537,.067063183,.065605491
1994,1673.850433351007,1805.784098230151,.0325987,.026645841
1995,1728.681062327373,1857.538686687824,.032757185,.028660452
1996,1794.797335189551,1922.712632210774,.038246658,.035086185
1997,1864.212123305427,1989.429297050321,.038675558,.034699239
1998,1957.221416987641,2084.192804941905,.049892012,.047633514
1999,2095.558803544213,2225.683956277059,.070680499,.067887746
2000,2251.014817682898,2380.23687577183,.074183561,.069440641
2001,2469.377030730916,2590.628531861701,.09700612,.088391058
2002,2749.208088097068,2868.146156173682,.11332051,.10712367
2003,3047.466656180304,3150.766035963089,.1084889,.098537475
2004,3253.347538680777,3332.830072076142,.067558043,.057784054
2005,3475.199976253509,3545.373919983262,.06819205,.063772783
2006,3640.318307248991,3687.529403798849,.047513332,.040096048
2007,3854.72769399483,3890.573781472574,.058898527,.055062443
2008,3994.142762972436,3997.601598065418,.036167294,.02750952
2009,4250.823333380283,4223.85469707379,.064264245,.05659721
2010,4449.275328519126,4407.411150136429,.046685543,.043457095
2011,4632.904226371906,4581.732728593401,.041271642,.039551921
2012,4705.39649417406,4659.090042772924,.015647262,.016883856
2013,4738.206824097646,4736.524045020365,.006972915,.016619984
2014,4825.604364230751,4809.724744014919,.018445278,.015454519
2015,4967.330227999119,4954.35864695823,.029369557,.030071139
2016,5205.258011704396,5196.320762545599,.047898524,.048838232
2017,5494.670369689566,5486.878525490061,.055600002,.055916056
2018,5742.273897219855,5699.711470547822,.04506249,.03878944
2019,5901.369995738793,5870.378114585308,.027706115,.029943032
2020,6123.445160307883,6087.011394830279,.037631121,.036902782
2021,6345.520324876973,6303.64467507525,.036266375,.035589434
2022,6676.254400139011,6657.09695904328,.052120876,.056071099
2023,7330.501199706361,7280.026032999691,.097996086,.093573682
